Country,Capital,Area_km2,Latitude,Longitude
Slovenia,Ljubljana,20273.0,46.0511,14.5051
Solomon Islands,Honiara,28896.0,-9.4333,159.95
Somalia,Mogadishu,637657.0,2.0371,45.3438
South Africa,Pretoria,1221037.0,-25.7449,28.1878
South Korea,Seoul,100210.0,37.566,126.9784
South Sudan,Juba,619745.0,4.8517,31.5825
Spain,Madrid,505992.0,40.4165,-3.7026
Sri Lanka,Sri Jayawardenepura Kotte,65610.0,6.883,79.9071
Sudan,Khartoum,1886068.0,15.5518,32.5324
Suriname,Paramaribo,163820.0,5.8664,-55.1668
Svalbard and Jan Mayen,Longyearbyen,61399.0,78.2233,15.6469
Sweden,Stockholm,450295.0,59.3294,18.0687
Switzerland,Bern,41284.0,46.9481,7.4474
Syria,Damascus,185180.0,33.5102,36.2913
São Tomé and Príncipe,São Tomé,964.0,0.3365,6.7273
Taiwan,Taipei,36193.0,25.0478,121.5319
Tajikistan,Dushanbe,143100.0,38.5358,68.779
Tanzania,Dodoma,945087.0,-6.1722,35.7395
Thailand,Bangkok,513120.0,13.754,100.5014
Timor-Leste,Dili,14874.0,-8.5586,125.5736
Togo,Lomé,56785.0,6.1287,1.2215
Tonga,Nuku'alofa,747.0,-21.1394,-175.2018
Trinidad and Tobago,Port of Spain,5130.0,10.6667,-61.5189
Tunisia,Tunis,163610.0,36.819,10.1658
Turkey,Ankara,783562.0,39.9199,32.8543
Turkmenistan,Ashgabat,488100.0,37.95,58.3833
Turks and Caicos Islands,Cockburn Town,948.0,21.4612,-71.1419
Tuvalu,Funafuti,26.0,-8.5243,179.1942
Uganda,Kampala,241550.0,0.3163,32.5822
Ukraine,Kyiv,603500.0,50.4547,30.5238
United Arab Emirates,Abu Dhabi,83600.0,24.4512,54.397
United Kingdom,London,242900.0,51.5085,-0.1257
United States,"Washington, D.C.",9372610.0,38.8951,-77.0364
United States,Los Angeles,9372610.0,34.0522,-118.2437
United States,Miami,9372610.0,25.7743,-80.1937
United States,Anchorage,9372610.0,61.2181,-149.9003
United States Virgin Islands,Charlotte Amalie,347.0,18.3419,-64.9307
Uruguay,Montevideo,181034.0,-34.9033,-56.1882
Uzbekistan,Tashkent,447400.0,41.2647,69.2163
Vanuatu,Port Vila,12189.0,-16.0,167.0
Vatican City,Vatican City,0.44,41.9027,12.4541
Venezuela,Caracas,916445.0,10.488,-66.8792
Vietnam,Hanoi,331212.0,21.0245,105.8412
Wallis and Futuna,Mata-Utu,142.0,-13.2816,-176.1745
Western Sahara,El Aaiún,266000.0,27.1418,-13.188
Yemen,Sana'a,527968.0,15.3547,44.2067
Zambia,Lusaka,752612.0,-15.4067,28.2871
Zimbabwe,Harare,390757.0,-17.8277,31.0534
