Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Georgia,2023,5.350635051727295,9.78503704071045,0.7790393829345703,65.19999694824219,0.876941442489624,-0.2682105004787445,0.7058841586112976,0.5417845249176025,0.2310466766357422
Germany,2023,6.792490482330322,10.877864837646484,0.8948324918746948,71.69999694824219,0.8447375297546387,0.106207937002182,0.4601833522319793,0.7063045501708984,0.2312359660863876
Ghana,2023,4.2984514236450195,8.609566688537598,0.6614665985107422,59.5,0.834113597869873,0.0931529030203819,0.892141580581665,0.6377432346343994,0.2538945376873016
Greece,2023,5.79606294631958,10.386622428894045,0.8184308409690857,71.4000015258789,0.5891226530075073,-0.2228036969900131,0.8053824305534363,0.6079389452934265,0.3113133609294891
Guatemala,2023,6.42129373550415,9.14017105102539,0.7961934804916382,63.099998474121094,0.8730798363685608,-0.0490502603352069,0.8120350241661072,0.8431468605995178,0.3026299774646759
Guinea,2023,4.827179908752441,7.931992053985596,0.576948881149292,55.099998474121094,0.7431830763816833,0.1867412030696869,0.7905811071395874,0.6519498229026794,0.5155653953552246
Guyana,2007,5.992826461791992,9.088530540466309,0.8487651944160461,56.2400016784668,0.6940056681632996,0.0820125043392181,0.8355690836906433,0.7606330513954163,0.2964197695255279
Haiti,2018,3.6149280071258545,8.073848724365234,0.5379759073257446,55.5,0.5914683938026428,0.3737184703350067,0.7204447388648987,0.5806729793548584,0.3587200343608856
Honduras,2023,5.860568046569824,8.669590950012207,0.7312758564949036,64.69999694824219,0.8781616687774658,0.0785972028970718,0.783737063407898,0.7671729922294617,0.2853439450263977
Hong Kong S.A.R. of China,2022,5.311294078826904,10.976421356201172,0.803008496761322,,0.6969754695892334,0.0401366241276264,0.3834643959999084,0.5485894680023193,0.2037198394536972
Hungary,2023,5.9651780128479,10.472707748413086,0.9542263746261596,67.80000305175781,0.7547153234481812,-0.0021450684871524,0.8474809527397156,0.6730110049247742,0.1885889023542404
Iceland,2023,7.561609268188477,10.93416690826416,0.9787889122962952,72.0999984741211,0.9183768033981324,0.2991569936275482,0.6974747180938721,0.7930626273155212,0.1850205063819885
India,2023,4.676008701324463,8.91947078704834,0.6328966021537781,61.5,0.8996010422706604,0.1208869218826294,0.769851803779602,0.6987650990486145,0.3885256946086883
