Country,Year_Life_expectancy,Life expectancy,Year_Life_Ladder,Life Ladder,Crime Rate,Year_Unemployment_Rate,Unemployment_Rate,Water_Quality,gdpPerCapita,Cost of Living Index,continent
Kuwait,2015.0,74.7,2023.0,7.130284309387207,32.6,2023.0,2.08,73.1,32505.152487278378,42.1,Asia
Kyrgyzstan,2015.0,71.1,2023.0,5.909509181976318,53.9,2023.0,4.04,62.4,1892.427090972598,27.6,Asia
Lao People's Democratic Republic,2015.0,65.7,,,,,,,,,
Laos,,,2023.0,5.486371994018555,,2023.0,1.18,33.3,1955.0002445359096,,Asia
Latvia,2015.0,74.6,2023.0,6.295644760131836,37.3,2023.0,6.53,75.9,24289.079904053167,49.1,Europe
Lebanon,2015.0,74.9,2023.0,3.5879082679748535,46.5,2023.0,11.57,56.6,6769.440368173394,41.8,Asia
Lesotho,2015.0,53.7,2022.0,3.18616247177124,,2023.0,16.46,9.8,1024.6339981689214,,Africa
Liberia,2015.0,61.4,2023.0,4.49391508102417,,2023.0,2.94,19.1,846.9895703051229,,Africa
Libya,2015.0,72.7,2023.0,5.9702887535095215,60.4,2023.0,18.74,,6533.107890237393,20.4,Africa
Liechtenstein,,,,,,2015.0,2.4,,194581.13870077752,,Europe
Lithuania,2015.0,73.6,2023.0,6.552654266357422,33.2,2023.0,6.96,73.9,28389.95351700354,47.1,Europe
Luxembourg,2015.0,82.0,2023.0,7.016062259674072,34.0,2023.0,5.19,93.2,131576.91416209537,62.4,Europe
Macau,,,,,,2023.0,2.25,,75912.65400645876,,Asia
Madagascar,2015.0,65.5,2023.0,4.433000564575195,,2023.0,3.06,13.5,515.0946347567652,24.5,Africa
Malawi,2015.0,58.3,2023.0,3.272091865539551,,2023.0,5.04,17.8,519.0877060119232,,Africa
Malaysia,2015.0,75.0,2023.0,5.868102073669434,51.6,2023.0,3.86,51.6,12529.46619157032,30.0,Asia
Maldives,2015.0,78.5,2018.0,5.197574615478516,55.2,2023.0,4.13,45.7,13639.662068325251,,Asia
Mali,2015.0,58.2,2023.0,4.369976043701172,,2023.0,3.01,19.0,884.9362300131544,,Africa
Malta,2015.0,81.7,2023.0,6.294854640960693,40.0,2023.0,3.13,93.6,42136.22136110169,52.8,Europe
Marshall Islands,,,,,,,,36.7,8122.935975284969,,Oceania
Mauritania,2015.0,63.1,2023.0,4.292047500610352,,2023.0,10.51,27.9,2055.9445970518823,,Africa
Mauritius,2015.0,74.6,2023.0,5.759169101715088,48.1,2023.0,6.06,61.6,12869.246442253989,37.1,Africa
Mexico,2015.0,76.7,2023.0,7.005731582641602,54.1,2023.0,2.81,58.0,15413.530387204744,40.2,North America
Micronesia,,,,,,,,39.3,4277.129727819018,,Oceania
Micronesia (Federated States of),2015.0,69.4,,,,,,,,,
Moldova,,,2023.0,5.801368236541748,,2023.0,1.62,64.3,6048.18514906292,34.0,Europe
Monaco,,,,,24.7,,,,227073.33488649013,,Europe
Mongolia,2015.0,68.8,2023.0,5.579622745513916,53.5,2023.0,6.13,64.1,6313.551275485248,,Asia
Montenegro,2015.0,76.1,2023.0,5.813005447387695,36.9,2023.0,15.25,95.8,12547.00624452801,39.4,Europe
Montserrat,,,,,,2017.0,5.6,,16464.570517202097,,North America
Morocco,2015.0,74.3,2023.0,4.486514091491699,47.1,2023.0,9.11,49.2,4001.370755123263,29.5,Africa
Mozambique,2015.0,57.6,2023.0,5.704499244689941,63.7,2023.0,3.54,21.3,663.4076195866227,,Africa
Myanmar,2015.0,66.6,2023.0,4.390633583068848,50.0,,,36.3,1247.814224194084,,Asia
Namibia,2015.0,65.8,2023.0,5.05532169342041,64.6,2023.0,19.42,20.2,4212.690544630098,,Africa
Nauru,,,,,,,,,13476.1864903323,,Oceania
Nepal,2015.0,69.2,2023.0,5.388708114624023,37.5,2023.0,10.69,34.4,1489.961586585321,25.5,Asia
Netherlands,2015.0,81.9,2023.0,7.254793643951416,26.2,2023.0,3.56,88.5,62676.43880254763,63.1,Europe
New Caledonia,,,,,,2023.0,11.22,,32884.61209886584,,Oceania
New Zealand,2015.0,81.6,2023.0,6.975955486297607,47.1,2023.0,3.74,84.2,49411.00204451911,64.6,Oceania
Nicaragua,2015.0,74.8,2023.0,6.362124919891357,50.2,2023.0,4.8,48.5,2722.472361750919,,North America
Niger,2015.0,61.8,2023.0,4.6086578369140625,,2023.0,0.55,12.8,696.0536245394416,,Africa
Nigeria,2015.0,54.5,2023.0,4.8689374923706055,65.8,2023.0,3.07,14.6,1086.2088972361064,31.4,Africa
North Korea,,,,,50.7,,,,572.7089528582426,,Asia
North Macedonia,,,2023.0,5.403024673461914,40.7,2023.0,13.08,70.0,8707.02848585581,33.0,Europe
Norway,2015.0,81.8,2023.0,7.248675346374512,32.5,2023.0,3.58,97.8,94492.2229434823,76.0,Europe
Oman,2015.0,76.6,2011.0,6.852982044219971,19.6,2023.0,1.46,63.5,20624.098274366945,42.4,Asia
Pakistan,2015.0,66.4,2023.0,4.549314498901367,42.8,2023.0,5.5,28.2,1300.5862243253246,18.8,Asia
Palau,,,,,,2015.0,1.7,,17406.046905905623,,Oceania
Palestine,,,,,41.2,,,,3477.7743001470308,41.6,Asia
Panama,2015.0,77.8,2023.0,6.543289661407471,44.1,2023.0,6.7,49.5,19343.473042222704,46.4,North America
Papua New Guinea,2015.0,62.9,,,80.4,2023.0,2.65,21.9,2998.723585307049,,Oceania
Paraguay,2015.0,74.0,2023.0,6.2137885093688965,50.6,2023.0,5.78,57.7,6612.210732918179,25.4,South America
Peru,2015.0,75.5,2023.0,5.935666084289551,67.5,2023.0,4.82,56.6,8254.709537141487,30.0,South America
Philippines,2015.0,68.5,2023.0,6.183511734008789,42.6,2023.0,2.23,40.8,4070.266910672974,31.0,Asia
Poland,2015.0,77.5,2023.0,6.684652805328369,29.2,2023.0,2.91,78.6,21915.94532320339,40.8,Europe
Portugal,2015.0,81.1,2023.0,5.954010963439941,30.7,2023.0,6.49,95.6,28675.337879965085,45.1,Europe
Puerto Rico,,,,,61.7,2023.0,5.96,,36321.94189130837,63.3,North America
Qatar,2015.0,78.2,2015.0,6.3745293617248535,14.3,2023.0,0.13,71.5,80266.49871080757,51.3,Asia
Republic of Korea,2015.0,82.3,,,,,,,,,
Republic of Moldova,2015.0,72.1,,,,,,,,,
Republic of the Congo,,,,,,,,25.4,2447.6705995300777,,Africa
Romania,2015.0,75.0,2023.0,6.488589763641357,32.8,2023.0,5.6,70.2,19456.69494244048,37.5,Europe
Russia,,,2023.0,5.86481237411499,39.7,2023.0,3.33,77.5,14202.73442894628,31.0,"Asia, Europe"
Russian Federation,2015.0,75.0,,,,,,,,,
Rwanda,2015.0,66.1,2019.0,3.268152236938477,27.3,2023.0,14.93,25.5,961.0285762383738,,Africa
Saint Kitts and Nevis,,,,,,,,,24208.52635399099,,North America
Saint Lucia,2015.0,75.2,,,,2023.0,11.09,53.2,14364.87448816094,,North America
Saint Pierre and Miquelon,,,,,,2015.0,8.7,,,,
Saint Vincent and the Grenadines,2015.0,73.2,,,,2023.0,18.67,51.6,11210.940605867854,,North America
Samoa,2015.0,74.0,,,,2023.0,9.75,52.5,4696.838348951238,,Oceania
San Marino,,,,,,2017.0,8.1,,60569.96515886959,,Europe
Sao Tome and Principe,2015.0,67.5,,,,2023.0,14.21,38.5,3188.472250526459,,Africa
Saudi Arabia,2015.0,74.5,2023.0,6.953373908996582,24.3,2023.0,4.88,60.6,32565.63063116115,45.3,Asia
Senegal,2015.0,66.7,2023.0,5.0927252769470215,,2023.0,2.93,28.3,1916.0090800994487,,Africa
Serbia,2015.0,75.6,2023.0,6.441013813018799,38.5,2023.0,8.68,81.8,12154.145796900932,37.7,Europe
Seychelles,2015.0,73.2,,,,2017.0,3.0,51.1,16891.840083424067,,Africa
Sierra Leone,2015.0,51.0,2023.0,3.4665777683258057,,2023.0,3.17,18.3,527.4229867554113,,Africa
Singapore,2015.0,83.1,2023.0,6.653942108154297,23.1,2023.0,3.47,99.8,90053.64867575727,76.7,Asia
Sint Maarten,,,,,,,,,36285.12110726644,,North America
Slovakia,2015.0,76.7,2023.0,6.26052188873291,31.3,2023.0,5.84,88.4,25570.026658143808,46.7,Europe
Slovenia,2015.0,88.0,2023.0,6.7457685470581055,24.2,2023.0,3.63,88.7,34030.773587577285,49.9,Europe
Solomon Islands,2015.0,69.2,,,,2023.0,1.55,34.8,2083.7453216438516,,Oceania
